#Pos	Phred	prob	A->C	A->G	A->T	A->N	C->A	C->G	C->T	C->N	G->A	G->C	G->T	G->N	T->A	T->C	T->G	T->N
21	7	0.032831322591555245	4608	4668	4296	0	3900	4738	4064	0	3972	4467	4191	0	3915	4357	4920	0
21	#	1.4451080031612455e-05	0	0	0	39	0	0	0	34	0	0	0	35	0	0	0	43
22	K	0.6673598882168287	46662	51539	46138	0	45522	54173	45807	0	47547	52102	43205	0	48085	49309	49964	0
22	,	0.05915406553862645	20411	19072	16838	0	16863	17229	16050	0	16827	16867	17708	0	16509	17743	21856	0
22	<	0.037469087359313986	4671	4779	4006	0	3624	5061	4122	0	3718	4811	4136	0	3648	4672	4988	0
22	F	0.12162851236505627	7556	8526	8200	0	7041	8970	8140	0	7363	8360	8276	0	7257	7878	8326	0
22	A	0.07339828497052293	5991	6943	6135	0	5368	7419	6148	0	5800	6473	6103	0	5538	6276	6925	0
22	7	0.032464015006507925	4678	4658	4182	0	4212	4769	4194	0	4070	4613	4392	0	4067	4371	5186	0
22	(	0.008499636321874282	6678	7445	789	0	1126	6873	1077	0	1361	6121	1261	0	816	5541	8085	0
22	#	2.6510221269428068e-05	0	0	0	68	0	0	0	64	0	0	0	76	0	0	0	69
23	K	0.6697908652767226	47378	51626	47012	0	46788	54471	45531	0	47342	52057	43395	0	48213	49013	49135	0
23	<	0.03640887474396593	4847	4906	3989	0	3687	4991	4044	0	3717	4801	4089	0	3700	4622	4894	0
23	,	0.058160777001850746	20621	18869	16321	0	17070	17030	15704	0	16459	16874	17720	0	16189	17355	21536	0
23	F	0.12202615047735765	7654	8767	8360	0	7395	8926	8456	0	7717	8266	8489	0	7456	7930	8321	0
23	A	0.07300484348558318	6309	6915	6138	0	5394	7415	6195	0	5589	6738	6198	0	5415	6506	6876	0
23	7	0.03220294425661143	4899	4606	4232	0	4140	4877	4317	0	4311	4510	4499	0	4076	4361	4978	0
23	(	0.00839195532176196	6607	7348	756	0	1126	6943	1019	0	1286	6246	1168	0	809	5373	8010	0
23	#	1.3589436146541207e-05	0	0	0	39	0	0	0	42	0	0	0	33	0	0	0	28
24	K	0.6729678644367486	47713	52647	46698	0	46849	54646	45404	0	46901	51481	42770	0	48921	49862	49957	0
24	A	0.07227648075564237	6379	7234	6358	0	5489	7485	6351	0	5638	6608	6136	0	5543	6554	6853	0
24	,	0.05702508873124014	20237	18729	16855	0	17079	16780	15964	0	16212	16220	16923	0	16342	17307	20718	0
24	F	0.12240772979585236	7760	9035	8662	0	7350	9389	8756	0	7797	8301	8434	0	7769	8151	8483	0
24	7	0.03146742981034789	4870	4668	4417	0	4175	4782	4509	0	4200	4538	4390	0	4041	4621	4981	0
24	(	0.008285409613256656	6759	7342	791	0	1150	6669	1128	0	1282	5888	1170	0	802	5426	7558	0
24	<	0.03555554917688888	4615	4903	4067	0	3624	5030	4033	0	3724	4588	3984	0	3671	4713	4722	0
24	#	1.4447680023116287e-05	0	0	0	44	0	0	0	24	0	0	0	39	0	0	0	44
25	K	0.6765401036682661	48742	53745	47562	0	45510	54880	44870	0	47315	52336	43088	0	47804	49521	50291	0
25	F	0.12204269996726044	8000	8955	8931	0	7539	9115	8568	0	8212	8603	8496	0	7782	8207	8456	0
25	A	0.07201211306419537	6788	7561	6585	0	5561	7556	6487	0	5769	6974	6197	0	5628	6600	6878	0
25	<	0.034352622504038866	4654	4774	4167	0	3539	4856	3939	0	3719	4689	3883	0	3663	4521	4610	0
25	,	0.055673616983088516	20356	18613	16820	0	16187	16169	15120	0	16194	16049	16776	0	16050	16691	20518	0
25	7	0.031181324174675038	4969	4886	4464	0	4201	4772	4343	0	4346	4644	4367	0	4175	4477	5065	0
25	(	0.008179628644189838	6832	7366	846	0	1149	6602	1074	0	1238	5890	1049	0	837	5490	7661	0
25	#	1.7890994285788637e-05	0	0	0	46	0	0	0	47	0	0	0	51	0	0	0	43
26	K	0.6809273047873157	48857	51532	47206	0	46707	54543	46938	0	47708	52013	43848	0	48792	50385	49487	0
26	F	0.1217866600222003	8269	8969	8809	0	7654	9166	8696	0	8013	8842	8646	0	7765	8459	8431	0
26	,	0.0545953228249376	20137	18390	16171	0	16240	16225	15537	0	15765	15755	16700	0	15718	16584	20363	0
26	A	0.07083119117841875	6730	7281	6226	0	5426	7698	6503	0	5647	6817	6157	0	5731	6661	6926	0
26	7	0.030522013062880597	4734	4814	4533	0	4066	4720	4479	0	4267	4548	4512	0	4234	4613	4960	0
26	<	0.033313358486018164	4629	4862	3983	0	3491	4947	3991	0	3569	4714	3886	0	3533	4476	4540	0
26	(	0.008005210996081709	6475	7132	802	0	1094	6596	967	0	1181	5843	1141	0	813	5161	7605	0
26	#	1.89386421471829e-05	0	0	0	59	0	0	0	39	0	0	0	41	0	0	0	59
27	K	0.6836516960223779	47395	52874	47267	0	46312	54924	45907	0	47751	53131	43879	0	48212	50455	50565	0
27	A	0.07056083625277126	6562	7289	6457	0	5730	7699	6345	0	5923	7110	6429	0	5843	6725	7149	0
27	F	0.12182554766602154	7996	9059	8978	0	7668	9647	9080	0	8398	8914	8827	0	7843	8434	8594	0
27	,	0.053448048607708847	19062	17841	15689	0	16201	15721	15178	0	16120	15590	16450	0	15778	16432	20151	0
27	<	0.03201363834883618	4416	4586	3870	0	3463	4705	3977	0	3604	4614	3850	0	3562	4324	4591	0
27	7	0.030544338311857377	4964	4833	4467	0	4381	4729	4489	0	4419	4798	4524	0	4302	4695	4954	0
27	(	0.00794192969665712	6314	7007	761	0	1116	6587	1052	0	1266	5976	1142	0	822	5241	7356	0
27	#	1.3965093769865585e-05	0	0	0	30	0	0	0	30	0	0	0	50	0	0	0	36
28	K	0.68754363676451	48667	51977	48301	0	45777	54389	47035	0	47396	52647	43909	0	48390	51115	49706	0
28	<	0.031213875266222543	4534	4670	3883	0	3456	4473	3844	0	3524	4407	3720	0	3570	4479	4459	0
28	7	0.029933002255331725	5031	4816	4531	0	4262	4593	4430	0	4328	4670	4481	0	4309	4528	5056	0
28	(	0.007817105305465007	6484	6976	754	0	1076	6339	939	0	1207	5553	1052	0	823	5235	7160	0
28	,	0.05239741915332428	19391	17845	15967	0	15902	15475	14938	0	15628	15198	16130	0	15536	16236	19751	0
28	F	0.12135920100318624	8387	9139	8989	0	7735	9714	8693	0	8307	8945	8884	0	8063	8429	8813	0
28	A	0.06972293716765245	6816	7500	6419	0	5671	7794	6438	0	5900	7066	6335	0	5923	6732	7224	0
28	#	1.2823084307760149e-05	0	0	0	34	0	0	0	37	0	0	0	28	0	0	0	35
29	K	0.6891148357994489	47727	51694	48408	0	45626	54603	47702	0	47399	51056	45866	0	48847	50126	49925	0
29	,	0.05167120352788626	18834	17282	15702	0	16146	15772	15081	0	15843	14928	16066	0	15572	15540	19534	0
29	(	0.007702628252288095	6242	6840	739	0	1107	6418	984	0	1259	5443	1126	0	767	5268	7361	0
29	A	0.06991287981952754	6835	7409	6777	0	5964	8058	6793	0	6033	6949	6801	0	5929	6786	7213	0
29	F	0.12158781686429576	8303	9185	9403	0	8127	9606	9594	0	8491	8895	9592	0	8366	8615	8596	0
29	<	0.030105548436877	4263	4380	3881	0	3588	4561	3766	0	3568	4284	3832	0	3541	4343	4358	0
29	7	0.029884600822426756	5065	4919	4625	0	4371	4972	4661	0	4524	4716	4759	0	4450	4729	5130	0
29	#	2.0486477249719148e-05	0	0	0	52	0	0	0	52	0	0	0	44	0	0	0	66
30	K	0.6917358607439308	48608	52204	46739	0	45680	55326	46457	0	47564	53133	44142	0	48878	50334	49735	0
30	F	0.1215090837038443	8521	9785	9310	0	8223	10110	9687	0	8712	9240	9293	0	8184	8540	9011	0
30	A	0.06877445319743962	6812	7669	6660	0	5776	8086	6657	0	6107	7242	6428	0	6043	6707	7263	0
30	,	0.051122756942567654	19304	17801	15600	0	15859	15675	14721	0	15358	15234	15834	0	15435	15560	18856	0
30	7	0.02992141457970332	5263	5091	4554	0	4457	5062	4609	0	4511	4823	4653	0	4412	4718	5041	0
